START TIME:2022-08-22 22:19:30
REPEAT,TIME(sec),VOLTAGE(V),CURRENT(A)
1,0.000000e+00, -1.06000e+00, -1.54694e-08
1,2.004900e-02, -1.04000e+00, -1.31880e-08
1,4.009700e-02, -1.02000e+00, -1.23897e-08
1,6.014600e-02, -1.00000e+00, -1.17340e-08
1,8.019400e-02, -9.80000e-01, -1.16898e-08
1,1.002430e-01, -9.60000e-01, -1.12147e-08
1,1.202920e-01, -9.40000e-01, -9.98521e-09
1,1.403400e-01, -9.20000e-01, -9.38392e-09
1,1.603880e-01, -9.00000e-01, -9.18829e-09
1,1.804370e-01, -8.80000e-01, -8.60858e-09
1,2.004850e-01, -8.60000e-01, -8.17776e-09
1,2.205340e-01, -8.40000e-01, -8.00681e-09
1,2.405820e-01, -8.20000e-01, -7.63607e-09
1,2.606300e-01, -8.00000e-01, -7.23255e-09
1,2.806790e-01, -7.80000e-01, -6.77872e-09
1,3.007270e-01, -7.60000e-01, -6.37782e-09
1,3.207750e-01, -7.40000e-01, -5.95212e-09
1,3.408230e-01, -7.20000e-01, -5.60367e-09
1,3.608760e-01, -7.00000e-01, -5.46002e-09
1,3.809240e-01, -6.80000e-01, -5.34308e-09
1,4.009720e-01, -6.60000e-01, -5.04291e-09
1,4.210210e-01, -6.40000e-01, -4.73773e-09
1,4.410690e-01, -6.20000e-01, -4.66681e-09
1,4.611170e-01, -6.00000e-01, -4.37772e-09
1,4.811660e-01, -5.80000e-01, -4.03202e-09
1,5.012140e-01, -5.60000e-01, -3.58403e-09
1,5.212620e-01, -5.40000e-01, -3.29936e-09
1,5.413110e-01, -5.20000e-01, -3.19326e-09
1,5.613590e-01, -5.00000e-01, -3.03912e-09
1,5.814080e-01, -4.80000e-01, -2.80237e-09
1,6.014560e-01, -4.60000e-01, -2.58589e-09
1,6.215050e-01, -4.40000e-01, -2.47610e-09
1,6.415530e-01, -4.20000e-01, -2.32613e-09
1,6.616010e-01, -4.00000e-01, -2.03979e-09
1,6.816500e-01, -3.80000e-01, -1.85263e-09
1,7.016980e-01, -3.60000e-01, -1.74427e-09
1,7.217510e-01, -3.40000e-01, -1.55497e-09
1,7.418000e-01, -3.20000e-01, -1.47319e-09
1,7.618480e-01, -3.00000e-01, -1.33717e-09
1,7.818970e-01, -2.80000e-01, -1.24621e-09
1,8.019450e-01, -2.60000e-01, -1.12891e-09
1,8.219940e-01, -2.40000e-01, -1.04237e-09
1,8.420430e-01, -2.20000e-01, -9.33647e-10
1,8.625990e-01, -2.00000e-01, -8.47816e-10
1,8.826470e-01, -1.80000e-01, -7.24435e-10
1,9.026950e-01, -1.60000e-01, -6.56366e-10
1,9.227430e-01, -1.40000e-01, -5.50985e-10
1,9.427920e-01, -1.20000e-01, -4.79341e-10
1,9.628400e-01, -1.00000e-01, -4.02451e-10
1,9.828890e-01, -8.00000e-02, -3.23415e-10
1,1.002940e+00, -6.00000e-02, -2.46167e-10
1,1.022990e+00, -4.00000e-02, -1.83463e-10
1,1.043030e+00, -2.00000e-02, -1.09434e-10
1,1.063190e+00, 0.00000e+00, -6.66380e-11
1,1.083240e+00, 2.00000e-02, 3.23057e-11
1,1.103290e+00, 4.00000e-02, 9.59635e-11
1,1.123340e+00, 6.00000e-02, 1.66297e-10
1,1.143380e+00, 8.00000e-02, 2.44498e-10
1,1.163430e+00, 1.00000e-01, 3.17454e-10
1,1.183480e+00, 1.20000e-01, 3.98517e-10
1,1.203530e+00, 1.40000e-01, 4.61936e-10
1,1.223580e+00, 1.60000e-01, 5.61118e-10
1,1.243630e+00, 1.80000e-01, 6.47545e-10
1,1.263670e+00, 2.00000e-01, 7.49588e-10
1,1.284230e+00, 2.20000e-01, 8.45432e-10
1,1.304280e+00, 2.40000e-01, 9.23634e-10
1,1.324330e+00, 2.60000e-01, 1.03247e-09
